artist_id,track_isrc
3TVXtAsR1Inumwj472S9r4,USCM51400222
0NIIxcxNHmOoyBx03SfTCD,USRC11301176
5IcR3N7QB1j6KBL8eImZ8m,USRC11301176
4gzpq5DPGxSnKTe4SA8HAU,GBAYE1400217
4OBJLual30L7gRl5UkeRcT,USQX91401203
50co4Is1HCEo8bhOyUWKpn,USQX91401203
74XFHRwlV6OrjEM0A2NCMF,USAT21300009
6JL8zeS1NmiOftqZTRgdTz,USSM11401317
5y2Xq6xcjJb2jVM54GHK3t,USSM11303954
0awl5piYwO0CDTHEkCjUhn,USWB11304681
3grHWM9bx2E9vwJCdlRv9O,US6XF1400002
5Rl15oVamLq7FbSb0NNBNy,GBUM71401926
0hCNtLu0JehylgoiP8L4Gh,USCM51400260
7qG3b048QCHVRO5Pv1T5lw,GBUM71400955
5luyt0SUvGkDMY4ILP6Qhl,GBUM71400955
2cy1zPcrFcXAJTP0APWewL,GBUM71400955
2gsggkzM5R49q6jpPvazou,USUM71409737
66CXWjxzNUsdJxJ2JdwvnR,USUM71409737
0hCNtLu0JehylgoiP8L4Gh,USUM71409737
32WkQRZEVKSzVAAYqukAEA,USUM71406165
1n2pb9Tsfe4SwAjmUac6YT,USRN11300044
55Aa2cqylxrFIXC767Z865,USCM51400173
3TVXtAsR1Inumwj472S9r4,USCM51400173
6jJ0s89eD6GaHleKKya26X,USUM71311293
5yG7ZAZafVaAlMTeBybKAL,GBUM71401093
5CCwRZC6euC8Odo6y9X8jr,GBUM71401093
1l8Fu6IkuTP0U5QetQJ5Xt,USSM11404393
25uiPmTg16RbhZWAqwLBy5,GBAHS1400160
66CXWjxzNUsdJxJ2JdwvnR,USUM71409719
2qxJFvFYMEDqd7ui6kSAcq,USUM71409719
3FfvYsEGaIb52QPXhg4DcH,US58E1400453
5WUlDfRSoLAfcVSX1WnrxN,USRC11400498
2l35CQqtYRh3d8ZIiBep4v,USSM11301446
2IvkS5MXK0vPGnwyJsrEyV,USUM71317730
2RdwBSPQiwcmiDo9kixcl8,USSM11400861
58R5LHkK3vkmEyGUPOR5kS,USY741100002
1PbBg2aYjWLKRk84zJK15x,USWB11301764
5Pwc4xIPtQLFEnJriah9YJ,USUM71301306
5bgfj5zUoWpyeVatGDjn6H,USUM71404544
17lzZA2AlOHwCwFALHttmp,USUM71404544
6jJ0s89eD6GaHleKKya26X,USUM71311296
5gCRApTajqwbnHHPbr2Fpi,USUM71311296
3CygdxquGHurS7f9LjNLkv,USUG11401387
3b8QkneNDz4JHKKKlLgYZg,USUM71409277
3KV3p5EY4AvKxOlhGHORLg,USUM71406166
0A0FS04o6zMoto8OKPsDwY,USUM71406166
6eUKZXaKkcviH0Ku9w2n3V,GBAHS1400090
7x8nK0m0cP2ksQf0mjWdPS,USUM71319714
6eKWqnckwdIlSnjaYgIyxv,USUM71319665
5yG7ZAZafVaAlMTeBybKAL,GBUM71400597
25uiPmTg16RbhZWAqwLBy5,GBUM71400597
6oMuImdp5ZcFhWP0ESe6mG,QMCE31400019
