id,name,genres,followers,musicbrainz_id,type,country_of_origin,date_of_origin,year_of_origin,disambiguation,needs_review
3TVXtAsR1Inumwj472S9r4,Drake,['rap'],105025758.0,9fff2f8a-21e6-47de-a2b8-7f449929d43f,Person,CA,,1986-10-24,Canadian rapper,False
0NIIxcxNHmOoyBx03SfTCD,Tinashe,['alternative r&b'],3114290.0,396a9525-0994-4542-b480-c4587feeb476,Person,US,,1993-02-06,American R&B singer,False
5IcR3N7QB1j6KBL8eImZ8m,ScHoolboy Q,[],5063911.0,bce6d667-cde8-485e-b078-c0a05adea36d,Person,,,1986-10-26,,False
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,[],61712415.0,cc197bad-dc9c-440d-a5b5-d52ba2e14234,Group,GB,,1996-09,,False
4OBJLual30L7gRl5UkeRcT,T.I.,['southern hip hop'],5169461.0,f7ba7fbe-c6bd-4ac0-bee9-c25c558d7d62,Person,US,,1980-09-25,Atlanta US rapper & producer Clifford Harris,False
50co4Is1HCEo8bhOyUWKpn,Young Thug,"['rap', 'melodic rap', 'trap']",12622534.0,75167b8b-44e4-407b-9d35-effe87b223cf,Person,CA,,1945-11-12,"Canadian singer, songwriter & musician",False
74XFHRwlV6OrjEM0A2NCMF,Paramore,"['pop punk', 'emo']",9959750.0,44cf61b8-5197-448a-b82b-cef6ee89fac5,Group,US,,2004,American pop rock band,False
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,[],15754684.0,b2029169-2574-4305-820f-252a5fde3697,Person,US,,1993-12-22,American singer,False
5y2Xq6xcjJb2jVM54GHK3t,John Legend,"['soft pop', 'neo soul']",8192882.0,75a72702-a5ef-4513-bca5-c5b944903546,Person,US,,1978-12-28,,False
0awl5piYwO0CDTHEkCjUhn,Nico & Vinz,[],585310.0,f8e8de78-2131-4e96-8829-ba3614f48a48,Group,NO,,2009,fka Envy,False
3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney,['country'],4929485.0,5dca4d22-d6c8-4e70-8ca1-4543e43353c7,Person,US,,1968-03-26,,False
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,[],10276074.0,830e5c4e-6b7d-431d-86ab-00c751281dc5,Group,AU,,2011,,False
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,[],34500976.0,1036b808-f58c-4a3e-b461-a2c4492ecf1b,Person,US,,1982-12-08,,False
7qG3b048QCHVRO5Pv1T5lw,Enrique Iglesias,"['latin pop', 'latin']",12080018.0,35f866dc-c061-48ba-8157-cf2e0eac4857,Person,ES,,1975-05-08,Spanish pop singer,False
5luyt0SUvGkDMY4ILP6Qhl,Descemer Bueno,['latin'],105690.0,cdfa25d4-b9fa-4e99-a163-18fddf7d514f,Person,CU,,1971-07-05,,False
2cy1zPcrFcXAJTP0APWewL,Gente De Zona,"['latin', 'latin dance']",1792228.0,35e53195-f6e1-40bc-a3ae-62b1900ee199,Group,CU,,2000,,False
2gsggkzM5R49q6jpPvazou,Jessie J,[],12266584.0,569c0d90-28dd-413b-83e4-aaa7c27e667b,Person,GB,,1965-07-31,English novelist,False
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,['pop'],108506377.0,f4fdbb4c-e4b7-47a0-b83b-d91bbfcfa387,Person,US,,1993-06-26,,False
32WkQRZEVKSzVAAYqukAEA,Lady A,"['country', 'pop country']",3736761.0,650e7db6-b795-4eb5-a702-5ea2fc46c848,Person,US,,1986-03-28,,False
1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,"['country', 'acoustic country']",2011055.0,508f4f83-26dc-4d21-98d9-1a8c04d5ad4a,Person,US,,1981-08-28,"country singer, songwriter & actor",False
55Aa2cqylxrFIXC767Z865,Lil Wayne,"['rap', 'hip hop']",18315111.0,ac9a487a-d9d2-4f27-bb23-0f4686488345,Person,US,,1982-09-27,,False
6jJ0s89eD6GaHleKKya26X,Katy Perry,['pop'],38926448.0,122d63fc-8671-43e4-9752-34e846d62a9c,Person,US,,1984-10-25,,False
