chart_instance_id,track_isrc,position
2014-08-23,USCM51400222,58
2014-08-23,USRC11301176,25
2014-08-23,GBAYE1400217,37
2014-08-23,USQX91401203,99
2014-08-23,USAT21300009,49
2014-08-23,USSM11401317,4
2014-08-23,USSM11303954,14
2014-08-23,USWB11304681,5
2014-08-23,US6XF1400002,28
2014-08-23,GBUM71401926,55
2014-08-23,USCM51400260,19
2014-08-23,GBUM71400955,12
2014-08-23,USUM71409737,9
2014-08-23,USUM71406165,31
2014-08-23,USRN11300044,67
2014-08-23,USCM51400173,42
2014-08-23,USUM71311293,97
2014-08-23,GBUM71401093,15
2014-08-23,USSM11404393,79
2014-08-23,GBAHS1400160,10
2014-08-23,USUM71409719,18
2014-08-23,US58E1400453,22
2014-08-23,USRC11400498,8
2014-08-23,USSM11301446,34
2014-08-23,USUM71317730,96
2014-08-23,USSM11400861,63
2014-08-23,USY741100002,46
2014-08-23,USWB11301764,43
2014-08-23,USUM71301306,35
2014-08-23,USUM71404544,82
2014-08-23,USUM71311296,16
2014-08-23,USUG11401387,78
2014-08-23,USUM71409277,24
2014-08-23,USUM71406166,26
2014-08-23,GBAHS1400090,50
2014-08-23,USUM71319714,29
2014-08-23,USUM71319665,100
2014-08-23,GBUM71400597,3
2014-08-23,QMCE31400019,88
2014-08-23,USRC11401783,93
2014-08-23,USAT21401980,95
2014-08-23,USVT31400002,56
2014-08-23,USRC11400650,91
2014-08-23,SE3NM1300101,38
2014-08-23,USQ4E1300686,21
2014-08-23,USUM71400121,70
2014-08-23,USWB11304589,59
2014-08-23,USSM11405788,72
2014-08-23,USCRB1410944,36
2014-08-23,USQX91400359,90
2014-08-23,TCABQ1306458,80
2014-08-23,GBUM71302810,11
2014-08-23,USUM71405920,52
2014-08-23,USCM51400196,51
2014-08-23,USSM11401760,77
2014-08-23,USUM71404631,23
2014-08-23,USRC11400614,33
2014-08-23,USRC11302077,65
2014-08-23,USUM71407116,7
2014-08-23,USUM71401800,62
2014-08-23,USCJY1418179,41
2014-08-23,USWB11300394,92
2014-08-23,USRC11401422,73
2014-08-23,USUM71406157,94
2014-08-23,USQX91401147,40
2014-08-23,USCM51400162,48
2014-08-23,GBAAA1200795,44
2014-08-23,USUM71405403,6
2014-08-23,GBAHS1300498,13
2014-08-23,QMDR70000001,71
2014-08-23,USHR11334431,32
2014-08-23,AULI01385760,64
2014-08-23,USAN21400001,54
2014-08-23,USUM71307706,53
2014-08-23,CAV161300016,1
2014-08-23,GBUM71400377,86
2014-08-23,USRC11400866,17
2014-08-23,GBAHS1400082,74
2014-08-23,USLXJ1406332,68
2014-08-23,NOT_FOUND,47
2014-08-23,USUM71318238,98
2014-08-23,GBUM71308833,2
2014-08-23,DEL211300741,84
2014-08-23,USUM71400323,39
2014-08-23,GBARL1400296,20
2014-08-23,USWB11304529,85
2014-08-23,USUM71311297,66
2014-08-23,USUM71314750,45
2014-08-23,USWB11303249,89
2014-08-23,USSM11308174,30
2014-08-23,USYAH1300243,76
2014-08-23,CYA111400022,75
2014-08-23,USUM71303994,69
2014-08-23,USAT21400212,57
2014-08-23,USRN11300051,81
2014-08-23,USWB11400672,27
2014-08-23,TCABZ1407197,87
2014-08-23,GBUM71301347,83
2014-08-23,QMRSZ1700645,61
2013-10-26,USUM71312049,14
2013-10-26,USRC11301264,42
2013-10-26,USG4X1100018,97
2013-10-26,USCM51300758,41
2013-10-26,USSM11303954,89
2013-10-26,NLZ541300467,88
2013-10-26,USUM71310271,8
2013-10-26,USRN11200152,52
2013-10-26,USUM71311375,16
2013-10-26,GBHMU1300102,74
2013-10-26,USUM71307500,47
2013-10-26,USUM71307668,9
2013-10-26,USSM11302896,81
2013-10-26,USSM11301638,39
2013-10-26,GBUM71303482,72
2013-10-26,GMM881200002,35
2013-10-26,US58E1200352,70
2013-10-26,USUM71210662,29
2013-10-26,USUM71301306,19
2013-10-26,USQX91301190,34
2013-10-26,USUM71207991,50
2013-10-26,USUM71303519,38
2013-10-26,USUM71311296,60
2013-10-26,USSD11300195,86
2013-10-26,USRN11300047,91
2013-10-26,USUM71201071,20
2013-10-26,USRC11301269,87
2013-10-26,USUM71307796,75
2013-10-26,USUG12103674,32
2013-10-26,USUYG1027384,48
2013-10-26,USQX91300809,31
2013-10-26,USUM71308367,37
2013-10-26,USAT21206908,24
2013-10-26,USAT21301167,82
2013-10-26,USUM71314172,13
2013-10-26,USUM71302387,44
2013-10-26,USCM51300762,5
2013-10-26,QMJMT1300025,7
2013-10-26,USSM11304309,62
2013-10-26,USUM71301027,53
2013-10-26,USLXJ1307035,30
2013-10-26,USAT21302744,78
2013-10-26,USRC11200786,46
2013-10-26,GBMQN1200012,25
2013-10-26,GBUM71305253,99
2013-10-26,USRC11300977,27
2013-10-26,USUM71204774,45
2013-10-26,USQX91302070,84
2013-10-26,USWB11303186,64
2013-10-26,USWB11300397,43
2013-10-26,USRC11300059,28
2013-10-26,USSM11303362,98
2013-10-26,USUM71308286,22
2013-10-26,US58E1200328,40
2013-10-26,US7M71200032,96
2013-10-26,USCRB1210133,68
2013-10-26,GBAAA1200795,77
2013-10-26,USCM51300754,92
2013-10-26,USSD11300197,95
2013-10-26,USUM71201074,15
2013-10-26,QMDR70000001,100
2013-10-26,USUYG1027385,61
2013-10-26,USUG12103662,73
2013-10-26,USG4X1200112,51
2013-10-26,USHR11334762,65
2013-10-26,USUM71308669,3
2013-10-26,USUM71211906,67
2013-10-26,NZUM71200031,1
2013-10-26,TCABD1246970,12
2013-10-26,USP6L1000053,23
2013-10-26,USUM71308244,76
2013-10-26,USHR11334529,36
2013-10-26,USRC11301273,93
2013-10-26,USCJY1218019,54
2013-10-26,USUM71311478,79
2013-10-26,USAT21300012,26
2013-10-26,GBUM71304610,10
2013-10-26,QMRSZ1700758,66
2013-10-26,USUM71312879,17
2013-10-26,USSM11300080,57
2013-10-26,USRC11301018,59
2013-10-26,NZUM71300124,80
2013-10-26,NZUM71300023,83
2013-10-26,USUM71307711,18
2013-10-26,NOAGW1300374,6
2013-10-26,USCM51300748,94
2013-10-26,USRC11301695,49
2013-10-26,QMJMT1300027,69
2013-10-26,USAT21206909,33
2013-10-26,USRC11200787,55
2013-10-26,USUYG1028245,56
2013-10-26,USAT21301325,90
2013-10-26,SEUM71301326,4
2013-10-26,USUM71305735,58
2013-10-26,USRC11300686,11
2013-10-26,NOT_FOUND,63
2013-10-26,USUM71305564,85
2013-10-26,GMM881200009,71
2013-10-26,USRC11301214,2
2013-09-07,USUM71306669,95
2013-09-07,USSM11302997,82
2013-09-07,USUM71303772,73
2013-09-07,USUM71201684,53
2013-09-07,USUM71310268,84
2013-09-07,USSM11303884,100
2013-09-07,USUM71310271,4
2013-09-07,USRN11200152,70
2013-09-07,USSM11300871,99
2013-09-07,GBHMU1200008,69
2013-09-07,GBHMU1300102,18
2013-09-07,USUM71307500,48
2013-09-07,USUM71307668,1
2013-09-07,USSM11301017,46
2013-09-07,USSM11301638,31
2013-09-07,USSM11201532,79
2013-09-07,GMM881200002,20
2013-09-07,USUM71210662,13
2013-09-07,USHR11334422,32
2013-09-07,USUM71301306,54
2013-09-07,USUM71303132,38
2013-09-07,USRC11201137,97
2013-09-07,USQX91301190,47
2013-09-07,USUM71207991,23
2013-09-07,USUM71303519,14
2013-09-07,USSD11300195,78
2013-09-07,NOT_FOUND,58
2013-09-07,USAT21204026,34
2013-09-07,USWB11300371,93
2013-09-07,USUG12103674,51
2013-09-07,QMJMT1300028,92
2013-09-07,USUM71308137,67
2013-09-07,USUYG1027384,29
2013-09-07,USQX91300809,10
2013-09-07,USUM71308367,83
2013-09-07,QMTM61200406,24
2013-09-07,USCN11300098,81
2013-09-07,USWB11302191,89
2013-09-07,USAT21301167,71
2013-09-07,USUM71309895,96
2013-09-07,USUM71302387,56
2013-09-07,USCM51300762,17
2013-09-07,QMJMT1300025,6
2013-09-07,USRC11200937,74
2013-09-07,GBARL1201390,22
2013-09-07,USAT21300728,41
2013-09-07,USLXJ1307035,36
2013-09-07,USRC11200786,27
2013-09-07,GBMQN1200012,62
2013-09-07,USUM71305877,35
2013-09-07,USRC11300977,52
2013-09-07,USUM71204774,16
2013-09-07,USAT21301253,98
2013-09-07,USWB11300397,60
2013-09-07,USRC11300059,21
2013-09-07,USSM11303362,76
2013-09-07,US58E1200328,33
2013-09-07,USCM51300393,88
2013-09-07,USCRB1210133,68
2013-09-07,USLXJ1302282,63
2013-09-07,GBAAA1200795,87
2013-09-07,USQX91300310,42
2013-09-07,USUM71201074,5
2013-09-07,USUYG1027385,66
2013-09-07,USUG12103662,86
2013-09-07,USG4X1200112,43
2013-09-07,USHR11334762,77
2013-09-07,USUM71308669,2
2013-09-07,USUM71211906,30
2013-09-07,NZUM71200031,12
2013-09-07,US58E1200344,45
2013-09-07,TCABD1246970,8
2013-09-07,USP6L1000053,25
2013-09-07,GMM881200024,15
2013-09-07,GBCTA1200048,37
2013-09-07,USHR11334529,94
2013-09-07,USCJY1218019,64
2013-09-07,USUM71214758,39
2013-09-07,USAT21300012,49
2013-09-07,GBUM71304610,9
2013-09-07,USSM11300080,72
2013-09-07,USRC11301011,44
2013-09-07,USCM51300283,65
2013-09-07,USUM71307711,19
2013-09-07,USWB11301002,28
2013-09-07,USUM71302939,26
2013-09-07,GMM881200003,40
2013-09-07,QMJMT1300027,75
2013-09-07,USAT21206909,11
2013-09-07,USRC11200787,59
2013-09-07,GBUM71304748,61
2013-09-07,USUYG1028245,57
2013-09-07,USUYG1027104,55
2013-09-07,SEUM71301326,7
2013-09-07,USRC11300686,3
2013-09-07,US6XF1200066,90
2013-09-07,USSM11303950,85
2013-09-07,TCABD1268639,91
2013-09-07,USRC11301214,50
2013-09-07,GBUM71301823,80
2014-01-11,USUM71312049,14
2014-01-11,USRC11301264,22
2014-01-11,USCM51300758,41
2014-01-11,USSM11303954,68
2014-01-11,USUM71314567,59
2014-01-11,USUM71302625,71
2014-01-11,NLZ541300467,55
2014-01-11,USUM71310271,26
2014-01-11,USUM71311375,48
2014-01-11,USUM71302187,52
2014-01-11,GBHMU1300102,54
2014-01-11,USUM71307668,28
2014-01-11,USLXJ1306313,80
2014-01-11,USSM11302896,81
2014-01-11,USUM71307523,99
2014-01-11,USSM11301638,36
2014-01-11,GBUM71303482,13
2014-01-11,US58E1200352,50
2014-01-11,USWB11302478,51
2014-01-11,USUM71312853,72
2014-01-11,USUM71301306,3
2014-01-11,USUM71311296,11
2014-01-11,USUM71201071,6
2014-01-11,GBCEL1300362,92
2014-01-11,USUM71320321,23
2014-01-11,USWD11366364,65
2014-01-11,USUM71301699,69
2014-01-11,USUM71307708,37
2014-01-11,USSM11307800,17
2014-01-11,USUM71307796,56
2014-01-11,USAT21300820,83
2014-01-11,USWD11366365,74
2014-01-11,USCN11300085,70
2014-01-11,USUYG1027384,30
2014-01-11,USAT21206908,89
2014-01-11,USAT21301167,53
2014-01-11,GBUM71306780,88
2014-01-11,USWB11302123,86
2014-01-11,CH3131340084,66
2014-01-11,USCM51300762,15
2014-01-11,QMJMT1300025,29
2014-01-11,USSM11304309,90
2014-01-11,USUM71308087,94
2014-01-11,USUM71301027,76
2014-01-11,USAT21302744,49
2014-01-11,GBMQN1200012,7
2014-01-11,USWD11366344,43
2014-01-11,USWD11366376,32
2014-01-11,USUM71311708,97
2014-01-11,GBUM71301538,62
2014-01-11,USRC11300977,44
2014-01-11,USWB11303186,39
2014-01-11,USSM11307806,82
2014-01-11,USUM71308286,24
2014-01-11,USHR11334427,96
2014-01-11,USAT21303689,100
2014-01-11,USAT21302366,98
2014-01-11,USRC11301762,91
2014-01-11,GBAAA1200795,21
2014-01-11,USCN11200250,75
2014-01-11,USUM71201074,25
2014-01-11,USUM71314079,33
2014-01-11,USHR11334762,40
2014-01-11,USUM71308669,8
2014-01-11,NZUM71200031,4
2014-01-11,TCABD1246970,45
2014-01-11,USP6L1000053,35
2014-01-11,USSM11306713,5
2014-01-11,QMTM61300238,79
2014-01-11,USRC11301420,42
2014-01-11,USUM71311478,27
2014-01-11,USUM71214608,31
2014-01-11,GBHMU1300210,9
2014-01-11,QMRSZ1700758,77
2014-01-11,USUM71312879,64
2014-01-11,USSM11300080,16
2014-01-11,USAT21202676,61
2014-01-11,USRC11301018,60
2014-01-11,USWB11302648,85
2014-01-11,NZUM71300124,19
2014-01-11,USUM71307711,34
2014-01-11,NOAGW1300374,58
2014-01-11,USUM71308673,93
2014-01-11,USCM51300748,63
2014-01-11,USUM71314082,1
2014-01-11,USRC11301695,2
2014-01-11,USSM11308174,38
2014-01-11,USUM71311295,20
2014-01-11,USCN11200024,78
2014-01-11,USRC11301140,84
2014-01-11,GBCTA1300101,87
2014-01-11,SEUM71301326,10
2014-01-11,USUM71305735,47
2014-01-11,NOT_FOUND,67
2014-01-11,USUM71305564,46
2014-01-11,US58E1200331,57
2014-01-11,GMM881200009,18
2014-01-11,USCM51300742,95
2014-01-11,USRC11301214,12
2014-01-11,USSM11307807,73
2014-08-09,USCM51400222,63
2014-08-09,USRC11301176,24
2014-08-09,GBAYE1400217,41
2014-08-09,USAT21300009,35
2014-08-09,USSM11401317,28
2014-08-09,USSM11303954,8
2014-08-09,USWB11304681,4
2014-08-09,US6XF1400002,25
2014-08-09,GBUM71401926,81
2014-08-09,GBUM71400955,15
2014-08-09,USUM71406165,34
2014-08-09,USRN11300044,57
2014-08-09,USCM51400173,37
2014-08-09,USUM71311293,88
2014-08-09,GBUM71401093,29
2014-08-09,USSM11404393,89
2014-08-09,GBAHS1400160,13
2014-08-09,USUM71409719,21
2014-08-09,US58E1400453,12
2014-08-09,USRC11400498,9
2014-08-09,USSM11301446,26
2014-08-09,USSM11400861,23
2014-08-09,USY741100002,39
2014-08-09,USWB11301764,66
2014-08-09,USUM71301306,32
2014-08-09,USUM71404544,71
2014-08-09,USRC11200665,98
2014-08-09,USUM71311296,20
2014-08-09,USUM71409277,22
2014-08-09,USUM71406166,40
2014-08-09,GBAHS1400090,84
2014-08-09,USUM71319714,27
2014-08-09,USUM71319665,99
2014-08-09,GBUM71400597,2
2014-08-09,QMCE31400019,93
2014-08-09,USAT21401980,97
2014-08-09,USVT31400002,61
2014-08-09,USRC11400650,76
2014-08-09,SE3NM1300101,44
2014-08-09,AUUM71400885,92
2014-08-09,USQ4E1300686,11
2014-08-09,USUM71400121,83
2014-08-09,USWB11304589,78
2014-08-09,USCRB1410944,33
2014-08-09,TCABQ1306458,73
2014-08-09,GBUM71302810,7
2014-08-09,USUM71405920,53
2014-08-09,USCM51400196,74
2014-08-09,USSM11401760,69
2014-08-09,USUM71404631,17
2014-08-09,USRC11400614,31
2014-08-09,USRC11302077,60
2014-08-09,USUM71407116,6
2014-08-09,USUM71401800,50
2014-08-09,USCJY1418179,56
2014-08-09,USWB11300394,86
2014-08-09,USAT21304769,45
2014-08-09,USRC11401422,87
2014-08-09,USQX91401147,49
2014-08-09,USRC11301024,48
2014-08-09,USAT21401391,59
2014-08-09,USCM51400162,46
2014-08-09,USUM71307712,55
2014-08-09,GBAAA1200795,36
2014-08-09,USUM71405403,5
2014-08-09,GBAHS1300498,19
2014-08-09,QMDR70000001,77
2014-08-09,USHR11334431,30
2014-08-09,AULI01385760,75
2014-08-09,USAN21400001,64
2014-08-09,USUM71307706,72
2014-08-09,CAV161300016,1
2014-08-09,GBUM71400377,58
2014-08-09,USRC11400866,16
2014-08-09,GBAHS1400082,68
2014-08-09,USLXJ1406332,96
2014-08-09,NOT_FOUND,52
2014-08-09,USUM71318238,94
2014-08-09,GBUM71308833,3
2014-08-09,DEL211300741,95
2014-08-09,USUM71400323,38
2014-08-09,GBARL1400296,10
2014-08-09,USWB11304529,85
2014-08-09,USWB11302648,42
2014-08-09,NZUM71300023,90
2014-08-09,USUM71314750,47
2014-08-09,USWB11303249,80
2014-08-09,USSM11308174,18
2014-08-09,USYAH1300243,70
2014-08-09,CYA111400022,54
2014-08-09,USUM71303994,62
2014-08-09,USAT21400212,51
2014-08-09,USG4X1300033,100
2014-08-09,USUM71400720,82
2014-08-09,USRN11300051,65
2014-08-09,USWB11400672,14
2014-08-09,USRC11401406,91
2014-08-09,GBUM71301347,79
2014-08-09,QMRSZ1700645,43
2013-12-21,USUM71312049,21
2013-12-21,USSM19400325,26
2013-12-21,USCM51300758,37
2013-12-21,USSM11303954,56
2013-12-21,USUM71314567,53
2013-12-21,USSM11304724,96
2013-12-21,USUM71302625,91
2013-12-21,NLZ541300467,51
2013-12-21,USUM71310271,19
2013-12-21,USUM71311375,73
2013-12-21,USUM71302187,64
2013-12-21,USUM71307500,69
2013-12-21,USUM71307668,24
2013-12-21,USSM11302896,83
2013-12-21,USUM71307523,60
2013-12-21,USSM11301638,31
2013-12-21,GBUM71303482,16
2013-12-21,US58E1200352,43
2013-12-21,USUM71318861,59
2013-12-21,USWB11302478,54
2013-12-21,USUM71312853,76
2013-12-21,USUM71301306,3
2013-12-21,USUM71311296,36
2013-12-21,USRN11300047,97
2013-12-21,USUM71201071,7
2013-12-21,GBCEL1300362,99
2013-12-21,USUM71320321,18
2013-12-21,USUM71301699,65
2013-12-21,USUM71307708,40
2013-12-21,USUM71307796,41
2013-12-21,USAT21300820,81
2013-12-21,USCN11300085,62
2013-12-21,USUYG1027384,45
2013-12-21,USAT21206908,98
2013-12-21,USAT21301167,68
2013-12-21,USWB11302123,89
2013-12-21,CH3131340084,78
2013-12-21,USCM51300762,10
2013-12-21,QMJMT1300025,22
2013-12-21,USSM11304309,77
2013-12-21,USUM71301027,61
2013-12-21,USYAH1300217,86
2013-12-21,USAT21302744,30
2013-12-21,GBMQN1200012,9
2013-12-21,USWD11366344,58
2013-12-21,USWD11366376,57
2013-12-21,US4DG1300070,13
2013-12-21,GBUM71301538,71
2013-12-21,USRC11300977,27
2013-12-21,USWB11303186,33
2013-12-21,USWB11300397,63
2013-12-21,USUM71308286,23
2013-12-21,USAT21303689,95
2013-12-21,USRC11301762,79
2013-12-21,GBAAA1200795,29
2013-12-21,USCM51300754,94
2013-12-21,USCN11200250,66
2013-12-21,USUM71201074,25
2013-12-21,USUM71314079,39
2013-12-21,USHR11334762,67
2013-12-21,USUM71310262,90
2013-12-21,USUM71308669,12
2013-12-21,NZUM71200031,4
2013-12-21,TCABD1246970,34
